#OTU ID	ESSE.222.0472	ESSE.222.0486	ESSE.222.0471	ESSE.222.0484	ESSE.222.0492	ESSE.222.0480	ESSE.222.0482	ESSE.222.0466	ESSE.222.0469	ESSE.222.0475	ESSE.222.0487	ESSE.222.0476	ESSE.222.0493	ESSE.222.0488	ESSE.222.0468	ESSE.222.0478	ESSE.222.0489	ESSE.222.0479	ESSE.222.0467	ESSE.222.0481	ESSE.222.0490	ESSE.222.0474	ESSE.222.0483	ESSE.222.0485	ESSE.222.0465	ESSE.222.0477	ESSE.222.0491	ESSE.222.0464	ESSE.222.0470	ESSE.222.0473
d__Bacteria;p__Actinobacteriota;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces dentalis	0.000000	0.000020	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000550	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000390	0.000000	0.000000	0.000000	0.000000	0.000030	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
d__Bacteria;p__Actinobacteriota;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces gerencseriae	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000130	0.000000	0.000000	0.000000	0.000140	0.000000	0.000000	0.000000	0.000000	0.000000	0.000250	0.007184	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
d__Bacteria;p__Actinobacteriota;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces johnsonii	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000080	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
d__Bacteria;p__Actinobacteriota;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces massiliensis	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002831	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
d__Bacteria;p__Actinobacteriota;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces naeslundii	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000120	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001091	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
d__Bacteria;p__Actinobacteriota;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris	0.000000	0.000070	0.000000	0.000200	0.000000	0.000000	0.000000	0.000020	0.000250	0.001181	0.000000	0.000000	0.000280	0.000840	0.000000	0.000090	0.000000	0.000000	0.001461	0.008895	0.000000	0.000000	0.000210	0.000080	0.000000	0.000000	0.001050	0.000030	0.000150	0.000000
d__Bacteria;p__Actinobacteriota;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_A	0.000000	0.000040	0.000000	0.000110	0.000000	0.000000	0.000000	0.000000	0.000380	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001071	0.004342	0.000000	0.000000	0.000000	0.000050	0.000000	0.000000	0.000000	0.000000	0.000140	0.000000
d__Bacteria;p__Actinobacteriota;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_B	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001701	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
d__Bacteria;p__Actinobacteriota;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_C	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000160	0.000000	0.000000	0.000000	0.000000	0.001141	0.000000	0.000000	0.000000	0.000000	0.000760	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
d__Bacteria;p__Actinobacteriota;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces oris_E	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000580	0.000000	0.000190	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
