#OTU ID	ESSE.222.1008	ESSE.222.1027	ESSE.222.1020	ESSE.222.1030	ESSE.222.1032	ESSE.222.1042	ESSE.222.0891	ESSE.222.0892	ESSE.222.0893	ESSE.222.0894	ESSE.222.0895	ESSE.222.0896	ESSE.222.0897	ESSE.222.0890	ESSE.222.0898	ESSE.222.0899	ESSE.222.0900	ESSE.222.0901	ESSE.222.0902	ESSE.222.0903	ESSE.222.0904	ESSE.222.0905	ESSE.222.0906	ESSE.222.0907	ESSE.222.0908	ESSE.222.0909	ESSE.222.0910	ESSE.222.0911	ESSE.222.0912	ESSE.222.0913	ESSE.222.0914	ESSE.222.0915	ESSE.222.0916	ESSE.222.0917	ESSE.222.0918	ESSE.222.0919	ESSE.222.0920	ESSE.222.0921	ESSE.222.0922	ESSE.222.0923	ESSE.222.0924	ESSE.222.0925	ESSE.222.0926	ESSE.222.0927	ESSE.222.0928	ESSE.222.0929
None;Other;Other;Other;Other;Other;Other	0.0	0.0	0.000445809391718	0.0	0.0	0.000696338420472	0.00238717510753	0.00259650337545	0.00186628012321	0.00251843856809	0.000197934285817	0.00191814677512	0.000574843052719	0.00454232270906	0.00126389794024	0.0	0.00141386720959	0.00186388025981	0.0111633932143	0.00316487390581	0.0027418447694	0.00127077467421	0.00875410348601	0.0016632016632	0.00503521741661	0.00784837808286	0.0	0.0	0.0	0.00183841796681	0.000213501028687	0.00091196369112	0.0	0.000294000294	0.0	0.00403348223967	0.000950551117403	0.0	0.0	0.0	0.0	0.0	0.000266862365735	0.000389787565777	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halococcus;s__agarilyticus-saccharolyticus	0.0	0.0	0.0	0.00047307223066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halococcus;s__qingdaonensis-thailandensis	0.0	0.0	0.0	0.00029878246147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__arcticum-bryantii	0.0	0.0	0.0	0.0	0.0	0.0	0.000308686436318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00020736719074	0.0	0.0	0.0	0.0	0.000299005805696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__ruminantium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000412022379321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__smithii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000997527865724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanocellales;f__Methanocellaceae;g__Methanocella;s__conradii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00131446097575	0.0	0.000193335208099	0.0	0.000677400864989	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanocellales;f__Methanocellaceae;g__Methanocella;s__paludicola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000474550056243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanocellales;f__Methanocellaceae;g__Methanocella;s__sp880	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00049502370903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae;g__Methanosaeta;s__concilii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000386670416198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
