Kingdom,Phylum,Class,Order,Family,Genus,Species
Viruses,Nucleocytoviricota,NA,Chitovirales,Poxviridae,Molluscipoxvirus,contagiosum virus
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,*Halobonum,*Halobonum
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halalkalicoccus,tibetensis
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halococcus,agarilyticus-saccharolyticus
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halococcus,hamelinensis
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halococcus,qingdaonensis-thailandensis
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halococcus,sediminicola
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halostagnicola,alkaliphila-bangensis
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloterrigena-Natronococcus,daqingensis-roseus
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,NA,NA
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,NA,sp754
Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Natronococcus,amylolyticus
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,arcticum-bryantii
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,oralis-smithii
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,ruminantium
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,smithii
Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,sp792
Archaea,Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,conradii
Archaea,Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,paludicola
Archaea,Euryarchaeota,Methanomicrobia,Methanocellales,Methanocellaceae,Methanocella,sp880
Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,bavaricum-sinense
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosaetaceae,Methanosaeta,concilii
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosaetaceae,Methanosaeta,sp980
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,barkeri
Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,horonobensis-siciliae
Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Marine Group II,marine metagenome,metagenome
Archaea,Miscellaneous Crenarchaeotic Group,NA,NA,NA,NA,sp1364
Archaea,Thaumarchaeota,Marine Group I,NA,NA,*Nitrosoarchaeum,koreensis-limnia
Archaea,Thaumarchaeota,Marine Group I,NA,NA,*Nitrosopelagicus,sp1528
Archaea,Thaumarchaeota,NA,NA,NA,*Nitrososphaera,sp1559
Archaea,Thaumarchaeota,NA,NA,NA,*Nitrososphaera,sp1566
Archaea,Thaumarchaeota,NA,NA,NA,NA,sp1561
Archaea,Thaumarchaeota,NA,NA,NA,NA,sp1562
Archaea,Thaumarchaeota,NA,NA,NA,NA,sp1562-sp1564
Archaea,Thaumarchaeota,NA,NA,NA,NA,sp1564
Archaea,Thaumarchaeota,NA,NA,NA,NA,sp1567
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,*Koribacter,versatilis
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Acidobacterium,sp1686
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Acidobacterium,sp1687
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Acidobacterium,sp1688
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Acidobacterium,sp1689
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Acidobacterium,sp1698
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Bryocella,elongata-sp1802
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Bryocella,sp1700
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Bryocella,sp1701
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Bryocella,sp1703
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Bryocella,sp1704
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Edaphobacter,aggregans-modestus
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Edaphobacter,sp1722
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Edaphobacter,sp1723
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Granulicella,NA
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Granulicella,aggregans
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Granulicella,pectinivorans
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Granulicella,sp1736
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,Granulicella,sp1738
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1760
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1772-sp1900
Bacteria,Acidobacteria,Acidobacteria,Acidobacteriales,NA,NA,sp1774-sp1849
